"","time","y","coal","gas","stocks","oil","temp"
"1",2008.00819672131,23.4475,87.6071640777523,24.2975,4306.6375,65.6344962227315,2.8541666665
"2",2008.02568306011,23.37,88.4305357989569,26.006,4250.632,63.1470568312674,5.9033333332
"3",2008.04508196721,22.26,89.394017050211,24.295,3986.875,61.0715322980199,7.175
"4",2008.06393442623,20.376,89.2740958525597,23.686,3736.642,60.7646970748772,5.6433333334
"5",2008.08306010929,19.616,93.5219285820282,22.646,3825.35,61.6037341319627,4.7799999998
"6",2008.10218579235,19.964,95.1618885393629,21.922,3711.164,61.895407777793,6.37
"7",2008.12090163934,20.3475,96.9943719315052,22.0925,3799.995,64.3515746617172,4.1333333335
"8",2008.14043715847,21.566,96.5961361545538,22.228,3775.61,66.0100654797338,6.96
"9",2008.15956284153,21.198,95.1050614510374,22.716,3779.2,65.9733051407427,7.9533333334
"10",2008.17868852459,21.26,94.980604208299,23.032,3607.04,66.3910766297036,5.0033333334
"11",2008.19535519126,22.11,92.0447602816811,23.63,3605.1,68.5890221550532,8.375
"12",2008.2131147541,21.7166666666667,90.2936955078083,23.1366666666667,3531.36666666667,65.6926801053962,3.94444444433333
"13",2008.23606557377,22.26,86.8005884441739,23.242,3633.052,65.1422918886014,6.0633333334
"14",2008.25519125683,23.308,81.2251351627053,25.1,3790.01,66.1124145669693,9.1366666652
"15",2008.27431693989,24.204,84.1705836891384,25.094,3743.152,68.6186319350302,7.1566666666
"16",2008.2943989071,24.8925,86.84135843345,25.735,3748.615,71.2783401128875,8.537500001
"17",2008.31256830601,24.844,88.1114535377747,26.614,3774.156,73.5367601364634,12.749999998
"18",2008.33196721311,24.37,92.9244143926588,25.9,3842.075,73.6279481606697,13.045833335
"19",2008.34836065574,25.105,96.3576641154674,25.9525,3843.5775,79.4275173540881,16.141666665
"20",2008.36953551913,24.8725,97.8887686368262,25.92,3852.9175,79.5176635921624,13.270833335
"21",2008.38907103825,25.928,99.2325675950396,25.416,3772.038,83.2219455173816,13.656666666
"22",2008.40819672131,26.312,103.224440566619,26.754,3740.96,82.366300554301,16.87
"23",2008.42732240437,27.04,110.911424903723,28.316,3662.652,82.9037227214377,17.44
"24",2008.44398907104,27.17,114.856560690837,28.835,3547.3375,86.7395452634303,15.4791666675
"25",2008.46557377049,27.512,116.773097126378,28.588,3480.834,86.6373982902462,17.586666668
"26",2008.48469945355,28.072,121.579811818031,28.502,3384.87,87.9489693281216,19.180000002
"27",2008.50382513661,27.984,136.210221793635,29.61,3304.028,91.0140587727757,19.28
"28",2008.52295081967,26.64,136.023641978434,28.402,3265.422,89.0307801346631,18.23
"29",2008.54234972678,25.085,136.033523953558,26.6575,3243.235,84.7141484317154,18.416666665
"30",2008.56120218579,24.78,132.949499319278,26.532,3346.572,80.3684806534933,20.866666666
"31",2008.58032786885,22.196,121.672613394255,27.35,3333.176,79.4016479708396,21.936666666
"32",2008.59945355191,22.402,120.81493745401,29.106,3408.1,76.0222852938085,19.986666666
"33",2008.61816939891,23.5,126.589741430136,29.5075,3378.6325,75.6674808388781,18.275
"34",2008.63770491803,24.364,130.025957872536,32.184,3283.354,77.8357623773085,18.586666666
"35",2008.65683060109,25.036,131.205963721602,32.474,3337.204,77.4738678332447,18.763333332
"36",2008.67595628415,24.482,130.197805874235,32.138,3306.04,73.9130434782609,16.78
"37",2008.69508196721,23.126,126.623607069345,32.076,3230.876,69.119170984456,15.773333332
"38",2008.71584699454,24.14,117.41953308468,32.08,3113.7225,68.324354192568,13.195833335
"39",2008.73333333333,24.404,114.352702443305,31.178,3126.284,69.6040255573532,12.72
"40",2008.75204918033,22.6,106.089859256586,35.195,2995.5075,66.3551064597618,12.158333335
"41",2008.77158469945,22.288,97.1063415784663,32.406,2662.646,59.4401367964857,12.75
"42",2008.79030054645,22.455,92.5032920971122,30.8575,2593.07,52.6142033124988,13.2125
"43",2008.80983606557,19.67,92.926924579914,31.092,2427.06,50.5853849159828,9.9700000006
"44",2008.82896174863,18.078,91.3767753237815,30.676,2525.352,49.3133329162235,5.6233333334
"45",2008.84808743169,18.576,86.1532222846091,30.024,2647.238,47.128641836671,8.7933333326
"46",2008.86680327869,17.7175,77.4559942911513,25.41,2419.78,42.0987947986045,7.72916666675
"47",2008.88633879781,15.738,72.5051110160225,24.432,2291.532,40.3746493605287,5.5733333336
"48",2008.90546448087,15.75,69.4472987700452,24.092,2381.278,40.3020395453838,3.24
"49",2008.92459016393,14.714,59.7511347628737,22.138,2358.748,33.8581937705431,3.8933333332
"50",2008.94371584699,14.738,59.5973599349025,22.682,2457.628,33.5026069135951,2.4966666666
"51",2008.96379781421,15.8675,56.4271706186486,21.66,2436.1425,30.9092529862721,5.05833333325
"52",2008.98360655738,15.81,57.420907099508,22.435,2385.22,29.0551944554171,2.33333333335
"53",2008.99453551913,16.02,57.1957032083659,23.15,2451.48,28.5622821370136,1.133333333
"54",2009.01095890411,15.5175,62.2465383069672,21.5375,2551.715,35.2416791494648,-2.30416666675
"55",2009.02794520548,14.04,61.2283638755194,21.736,2432.952,33.1694119757257,0.1266666666
"56",2009.04863013699,11.9725,60.6362973481214,21.4875,2224.8225,34.1232682196723,3.25
"57",2009.06630136986,11.826,59.7865094757418,21.502,2216.422,35.0243574668234,3.1400000002
"58",2009.08547945205,11.212,59.1488372093023,22.556,2249.548,34.6248062015504,2.3033333334
"59",2009.10465753425,9.628,60.8395941445279,21.872,2304.378,35.2536596700488,3.0866666666
"60",2009.12534246575,8.73,60.1134327182497,16.165,2161.76,33.184978042104,2.3416666665
"61",2009.14301369863,9.904,58.6154980160908,14.204,2012.182,33.1947994918683,4.0733333336
"62",2009.16219178082,10.674,49.694687885595,13.304,1937.67,35.5759800044294,5.81
"63",2009.18136986301,11.494,45.8773550638809,12.246,1866.358,34.4245984744398,5.57
"64",2009.19931506849,12.29,43.3082937298789,11.375,1996.2675,34.8114364556186,7.6041666665
"65",2009.2197260274,11.378,43.8693341577235,12.216,2097.762,38.3650576337058,6.0566666666
"66",2009.23890410959,11.462,47.0228525925147,11.596,2091.008,37.7270610153703,7.7066666666
"67",2009.25808219178,12.514,49.0181426906178,12.032,2189.464,39.0456406731028,10.876666666
"68",2009.27853881279,13.8566666666667,50.436273768094,11.3433333333333,2263.16666666667,39.7967418167146,11.7333333333333
"69",2009.29863013699,13.4325,51.387738592808,10.93,2279.9775,39.0685490860764,11.0125
"70",2009.31561643836,13.592,46.9083737864078,11.482,2302.38,38.3601334951456,12.363333334
"71",2009.33630136986,14.4525,45.1671607069153,11.34,2409.9225,40.4581441596938,12.5333333325
"72",2009.35397260274,15.222,45.3935829980398,11.246,2416.74,42.353097227749,13.980000002
"73",2009.37465753425,14.665,45.2240145009795,11.27,2430.7575,42.9664756394529,15.091666665
"74",2009.39452054795,15.1425,44.9131291420383,10.7475,2455.42,43.8348558122873,16.275
"75",2009.41095890411,14.8325,46.9808385773881,10.78,2480.4875,46.6591246553065,16.1625
"76",2009.43068493151,13.642,49.0228245363766,10.802,2487.788,49.265335235378,13.806666666
"77",2009.44863013699,12.9475,48.4849569559537,10.72,2461.665,50.6505825711882,16.5458333325
"78",2009.46904109589,13.106,47.0480234092604,10.674,2396.086,49.3946870158931,18.416666668
"79",2009.48821917808,13.386,45.7408223932183,10.42,2416.274,49.4659137781444,20.920000002
"80",2009.50739726027,13.154,45.8616983160158,10.26,2340.448,45.8573987817986,20.266666664
"81",2009.52657534247,14.25,48.2396629293723,9.076,2352.458,43.7420552738699,19.17
"82",2009.54726027397,14.39,47.7325919017368,8.64,2502.125,46.3283298432083,20.666666665
"83",2009.56493150685,14.056,47.8120850871494,9.278,2588.67,48.9830221192689,20.18
"84",2009.58410958904,14.162,47.6123929175343,9.346,2656.206,51.0292494095616,19.703333332
"85",2009.60328767123,14.282,49.4303699426849,9.634,2680.198,51.720156032164,20.853333336
"86",2009.62191780822,14.6125,49.9956030040276,9.4575,2657.1575,51.5064108201277,20.4708333325
"87",2009.64164383562,15.236,49.9237090023377,8.45,2755.534,51.1289667819197,20.6
"88",2009.66082191781,15.03,48.9870158943362,9.402,2755.188,49.017797179315,19.833333334
"89",2009.68,15.304,46.8398954510066,9.692,2766.646,47.2305638972306,18.24
"90",2009.69726027397,14.46,46.0539375064171,9.9175,2830.28,46.6032376193573,15.7875
"91",2009.71835616438,13.664,45.91795178106,9.924,2884.808,47.5238922675934,15.23
"92",2009.73753424658,13.172,47.2161512403016,10.706,2866.872,45.081138673369,14.58
"93",2009.75671232877,13.346,48.7839536536044,12.056,2815.942,46.6005356069301,13.499999998
"94",2009.77589041096,14.048,48.9403061637733,12.488,2902.804,48.1424984475823,10.236666668
"95",2009.79657534247,14.5525,48.6237765975215,12.7,2937.1025,51.6334302034272,8.93333333325
"96",2009.81424657534,14.362,48.8858724868294,12.272,2847.344,52.3424900548328,11.053333334
"97",2009.83342465753,14.508,50.4891282287199,13.34,2761.364,52.3346908953144,8.9766666666
"98",2009.85260273973,13.946,51.2449799196787,12.264,2837.05,51.8179384203481,7.0966666668
"99",2009.87123287671,13.345,52.0338300443012,11.3,2893.8525,52.0220835011411,9.2875
"100",2009.89095890411,12.946,51.8126686436376,10.358,2873.204,51.7218348427774,10.1766666666
"101",2009.9101369863,13.242,51.4312710432109,10.516,2835.504,51.8837416658904,5.9766666666
"102",2009.92931506849,14.156,51.6583524335985,11.142,2869.994,51.2188216259943,6.11
"103",2009.94849315068,14.42,52.361401924156,11.536,2882.742,49.4354805600033,2.19999999998
"104",2009.9698630137,12.925,54.6164462535595,12.4025,2925.115,51.6500410544889,-0.2
"105",2009.99178082192,12.6733333333333,54.7383572456702,12.7733333333333,2980.24666666667,54.0906347216418,2.62777777766667
"106",2010.01232876712,12.725,64.5338017635703,13.9375,3011.79,56.3698975598727,-3.28750000025
"107",2010.02904109589,13.104,61.6351159162145,13.09,2994.62,54.9231597696864,-1.84999999994
"108",2010.05068493151,13.485,60.3014103330637,13.1725,2930.135,53.7456476629269,2.3916666665
"109",2010.06739726027,13.358,60.796213650189,14.65,2799.314,51.7609937746951,-1.16333333332
"110",2010.08657534247,12.912,57.3985989795036,13.854,2782.438,53.1407650840324,1.8433333334
"111",2010.10575342466,13.392,55.1538046411225,13.642,2668.956,52.1316783594172,-0.0733333333400001
"112",2010.12739726027,13.085,54.2430414120842,13.355,2736.2875,55.4558631951707,0.379166666575
"113",2010.14410958904,12.838,54.3454215641453,12.572,2744.286,57.2846461279809,2.8466666666
"114",2010.16328767123,13.256,55.0857042139741,11.982,2787.238,57.3491179883378,3.5466666666
"115",2010.18246575342,13.154,52.4407231989677,11.418,2888.516,58.8046395002713,0.64333333334
"116",2010.20068493151,13.0225,53.1948269886726,11.3875,2897.145,57.9647228353063,5.40833333325
"117",2010.22082191781,12.914,54.6668453018935,11.412,2910.25,59.5971775634155,9.67
"118",2010.24,12.868,54.9178139093283,11.91,2947.554,60.5936980773795,7.8433333332
"119",2010.26301369863,13.4966666666667,57.9457895918011,12.12,2968.80666666667,63.9727701169489,10.0055555546667
"120",2010.27835616438,13.862,56.3440195472342,12.85,3000.938,62.9456268951103,8.7333333332
"121",2010.3,14.6725,57.6893663850186,12.545,2942.3325,63.4920634920635,9.1041666665
"122",2010.31671232877,15.302,59.1885297749932,14.064,2864.118,65.2007590590078,13.933333334
"123",2010.33589041096,16.038,66.7626807966606,15.456,2726.438,65.3856225258391,9.7466666674
"124",2010.35342465753,15.5475,71.4797323888233,16.27,2688.465,62.9830775285321,9.52916666675
"125",2010.37465753425,15.1525,72.4161630045886,16.27,2630.2975,60.0634715287744,13.39166666575
"126",2010.39383561644,15.245,71.5845668527057,16.6075,2553.095,58.1634716492761,14.3375
"127",2010.41260273973,15.184,72.9361994054425,16.462,2613.408,60.5239946424488,15.376666668
"128",2010.43178082192,15.494,79.1215754281236,18.406,2551.964,61.0411698987844,17.526666666
"129",2010.45,15.7475,78.5820576064578,19.23,2691.5475,62.0563833907495,15.6333333325
"130",2010.4701369863,15.506,77.6584004154765,19.53,2720.276,62.9414437808361,17.103333332
"131",2010.48931506849,15.314,76.0470099344198,19.782,2589.246,61.440815531459,21.356666664
"132",2010.50849315068,15.034,73.7505549565548,20.956,2581.938,57.5236252933342,21.786666666
"133",2010.52767123288,14.106,72.973907033005,20.57,2709.33,59.600672353394,23.266666668
"134",2010.54931506849,14.245,71.8637679469993,17.9725,2653.9025,59.2624973285928,22.2583333325
"135",2010.56602739726,13.814,71.2397075798384,17.638,2750.12,59.2120046171604,19.806666666
"136",2010.58520547945,14.356,71.8016895587699,18.878,2805.54,61.6096389935578,18.899999998
"137",2010.60438356164,14.424,71.7646698892492,18.764,2770.328,60.2566848191886,19.736666666
"138",2010.62328767123,14.555,71.9859539602029,18.065,2702.675,58.862660944206,18.3625
"139",2010.64273972603,15.092,72.6439212220679,17.992,2622.73,58.1934099229895,19.41
"140",2010.66191780822,15.444,72.0857259405692,18.146,2660.066,59.8026295145753,15.573333334
"141",2010.68109589041,15.672,71.251213326236,18.552,2752.462,60.5755080314369,15.95
"142",2010.69863013699,15.32,70.5815058266923,18.59,2796.5725,61.1288852694239,16.55416667
"143",2010.71945205479,15.032,69.4229256188344,18.288,2769.194,59.3127761302427,15.423333334
"144",2010.73863013699,15.48,69.9825943298817,18.904,2768.862,58.8886922146503,12.416666666
"145",2010.75780821918,15.448,69.7526491550171,18.848,2751.874,60.7693753343067,14.336666666
"146",2010.77698630137,15.66,69.8062648668787,18.882,2805.512,60.2441750494368,10.4500000006
"147",2010.79863013699,15.1125,70.8396341902499,18.775,2855.465,59.5701015338086,7.42916666675
"148",2010.81534246575,15.048,70.9854776263331,18.906,2855.296,60.0152564084112,8.0366666674
"149",2010.83452054795,14.63,74.2834383579181,18.766,2851.474,60.8184805337051,10.8599999994
"150",2010.85369863014,14.464,75.4625614339405,18.498,2862.338,63.9881468632553,6.9333333326
"151",2010.87260273973,14.96,77.4966026370882,19.2525,2832.2025,62.689609578727,6.775
"152",2010.89205479452,15.05,78.4200213751336,20.514,2783.924,62.862189763686,3.5466666666
"153",2010.91123287671,14.86,86.1904689426341,21.926,2712.234,66.7265338427117,-2.39333333334
"154",2010.9304109589,14.712,89.9649555552213,23.708,2802.95,68.5878442402274,0.8033333334
"155",2010.9495890411,14.426,88.5172143974961,22.95,2848.868,68.7357048272541,0.1533333332
"156",2010.97123287671,14.1175,92.6084719602127,22.8875,2862.59,71.2361134930162,-1.35416666675
"157",2010.9904109589,14.0925,92.2400893990189,23.4,2824.77,71.1138890467261,0.045833333325
"158",2011.01095890411,14.484,97.4761919250312,23.028,2832.364,71.7619496759668,1.8133333332
"159",2011.0301369863,14.314,98.0444295873093,22.616,2854.522,74.1764419862639,5.0700000002
"160",2011.05068493151,14.455,93.4077135496784,22.5025,2941.84,72.3057249291102,2.4833333335
"161",2011.06849315068,14.78,90.6966541881142,21.614,2969.7,71.1540711277492,0.93666666674
"162",2011.08767123288,14.842,87.3205741626794,21.622,2994.364,73.9117750029175,2.8933333332
"163",2011.10684931507,14.726,86.8218992704166,21.468,3031.07,74.0306542715933,4.9400000002
"164",2011.12739726027,14.8825,86.9877124567729,21.265,3056.23,75.5150467220955,2.11666666675
"165",2011.14520547945,15.348,86.6919210315437,21.876,2976.948,79.5905878924747,2.56000000026
"166",2011.16438356164,15.584,86.9784462886123,22.558,2974.716,82.7469455970493,2.8366666666
"167",2011.18356164384,15.83,88.6285459334206,23.472,2921.104,82.5132050488623,6.06
"168",2011.20205479452,17.095,89.5643490200974,25.3225,2787.54,79.6654599925103,6.87083333325
"169",2011.22191780822,16.83,88.8818243472363,24.392,2880.588,81.5982819034701,8.1766666666
"170",2011.24109589041,17.164,89.4945210321668,24.368,2927.192,82.1703782255214,9.1399999994
"171",2011.2602739726,17.116,90.0491812440619,24.166,2965.326,85.9134857206729,12.793333334
"172",2011.27808219178,16.6975,88.7696190278642,23.59,2943.6525,84.7230864965775,10.92916666575
"173",2011.29726027397,16.8325,88.8194986555642,22.9675,2890.825,85.138346777691,13.645833335
"174",2011.31917808219,17.0775,86.7243451907286,22.46,2987.3825,84.6858439293636,13.529166665
"175",2011.33698630137,17.144,86.8153743370192,22.244,2968.148,80.2653286612219,11.2833333334
"176",2011.35616438356,16.9,86.8684461391802,23.004,2919.1,80.3159872147143,16.616666668
"177",2011.37602739726,16.59,86.5830930445179,23.08,2873.2975,78.9155355510233,14.9375
"178",2011.39452054795,16.424,86.9149492920692,23.21,2806.318,80.2896787790492,16.12
"179",2011.41301369863,16.9575,84.4964871194379,23.395,2823.2575,80.1075548616532,16.6208333325
"180",2011.43287671233,16.634,85.321744392337,22.952,2760.51,80.7916053525504,16.286666666
"181",2011.45296803653,16.1366666666667,85.873795404003,23.0833333333333,2760.52,81.1874536693847,17.6944444433333
"182",2011.47123287671,14.11,85.6275954641424,22.558,2758.362,76.794977558411,17.56666667
"183",2011.4904109589,13.268,84.5759210216165,22.128,2800.234,76.4576198333356,20.196666668
"184",2011.5095890411,13.166,85.7631502106536,22.03,2837.586,80.0261405191952,19.35
"185",2011.52739726027,12.2,87.0977480997372,21.875,2703.2525,83.8406620728848,18.225
"186",2011.54794520548,12.704,86.2482636696553,21.868,2704.3,82.4234260779279,17.76
"187",2011.56712328767,12.598,85.7462354836917,21.558,2707.838,81.6455520364505,18.823333334
"188",2011.58630136986,11.436,88.8239262424106,21.632,2484.7,79.1432426354846,20.209999998
"189",2011.60547945205,11.698,87.8724061438239,21.78,2251.54,74.2762474377334,18.313333332
"190",2011.62465753425,12.4175,86.9610515897133,22.0375,2253.4575,75.533522026776,19.825
"191",2011.64383561644,12.976,86.5054926764314,23.066,2205.842,76.2594318686196,19.823333332
"192",2011.66301369863,13.044,87.6793425268143,25.15,2261.398,79.0318985931188,16.463333334
"193",2011.68219178082,12.242,90.3400209376031,26.566,2115.12,81.1819707160373,17.393333334
"194",2011.7,12.1425,90.2238548126057,26.035,2067.6625,82.1734465639832,17.3416666675
"195",2011.72054794521,11.658,91.1872092338496,25.29,2071.356,79.4270066544962,14.91
"196",2011.7397260274,10.768,90.7600662212499,24.88,2169.224,77.1004552710933,17.283333336
"197",2011.7602739726,10.3075,88.5716421257194,26.3225,2197.12,77.384333657224,15.116666665
"198",2011.77808219178,10.566,86.1191532698043,25.896,2339.384,81.0111297010257,12.97
"199",2011.79863013699,10.215,84.6602645406777,25.22,2311.5425,79.5180286283747,9.025000001
"200",2011.81643835616,10.382,83.8054195978824,24.836,2397.474,78.9494713109491,10.32
"201",2011.83561643836,9.738,84.9026492180019,25.404,2315.25,79.9756260337173,12.193333332
"202",2011.85479452055,9.974,85.1746986193409,25.352,2281.648,83.1518725006568,8.3666666664
"203",2011.87397260274,9.7775,85.6198530226375,24.54,2255.445,81.2548469293549,6.3458333335
"204",2011.89315068493,8.414,85.8126886411858,24.216,2119.078,80.2543107312554,6.6233333334
"205",2011.91232876712,8.01,83.5175834354178,23.408,2288.54,82.0565299232125,7.0233333334
"206",2011.93150684932,7.47,83.1436168623585,23.272,2340.332,81.6946012966449,5.2866666666
"207",2011.94931506849,6.975,85.157312192413,23.555,2240.31,81.7429769632906,5.7541666665
"208",2011.9698630137,8.096,86.3340896547495,23.082,2254.616,81.8559514319004,4.8866666668
"209",2011.9904109589,7.5925,86.2239593361315,22.3975,2288.5425,83.2184527706111,5.325
"210",2012.00956284153,6.62,85.2749301025163,21.8275,2338.55,87.6883348866108,5.425
"211",2012.02732240437,7.032,84.793009867131,22.344,2331.458,87.7955041021538,5.26
"212",2012.04644808743,6.982,81.7880072305679,21.376,2402.166,86.4551517795923,3.1866666666
"213",2012.06557377049,7.628,80.7231859271928,22.17,2438.33,84.3925604690936,3.5366666666
"214",2012.08469945355,8.298,77.9705909215454,23.55,2457.074,85.2345724114836,-3.01666666654
"215",2012.10382513661,8.344,75.4105053070852,23.674,2507.606,88.4907315008014,-3.1100000002
"216",2012.12295081967,8.482,75.4176756369839,23.174,2496.69,90.572790545377,2.92333333346
"217",2012.14207650273,9.08,74.6806912096168,23.934,2528.53,92.2163786626597,5.7666666666
"218",2012.16120218579,9.012,73.6381220854388,24.69,2527.942,92.700664257546,8.1333333332
"219",2012.18032786885,8.508,73.7587468314081,24.236,2492.864,94.3094367116468,5.1366666666
"220",2012.19945355191,7.92,74.0511834454974,24.74,2569.77,95.5134367989745,9.2266666666
"221",2012.21857923497,7.26,73.2729691326299,24.86,2561.652,94.0683858874747,8.8433333328
"222",2012.23770491803,7.076,72.9110390779759,24.72,2498.356,93.1358424875443,10.6433333334
"223",2012.25546448087,6.455,75.4112652566144,24.6375,2437.79,94.0148586157228,7.7375
"224",2012.27732240437,7.095,74.297533264707,24.6625,2326.66,92.1880361432003,8.47500000025
"225",2012.29508196721,7.254,73.5634107017917,24.466,2318.404,90.0723998418155,7.7933333334
"226",2012.31420765027,7.246,72.7187391179276,24.08,2303.706,90.1966721676331,10.8333333334
"227",2012.33401639344,7.1725,68.0535765175264,24.9875,2283.045,88.7109337893037,12.629166665
"228",2012.35245901639,6.788,67.8330737319371,24.726,2249.35,86.9916567709699,14.76
"229",2012.37090163934,6.56,68.5521780006268,24.15,2175.1625,86.7008774678784,12.595833335
"230",2012.39071038251,6.862,68.7395064466056,23.43,2159.09,84.924129629043,17.923333332
"231",2012.41120218579,6.4925,71.3178450636173,23.575,2116.0225,82.6320663552907,16.275
"232",2012.42896174863,6.526,69.9252563324496,23.528,2118.196,79.4918069441339,15.42
"233",2012.44808743169,6.892,68.3675093931096,23.496,2150.804,77.5186270139464,16.056666666
"234",2012.46721311475,7.648,68.3454605982784,23.346,2189.474,73.6687750669774,17.843333332
"235",2012.48633879781,8.08,69.5153326195689,23.764,2169.322,74.5761357643938,19.813333334
"236",2012.50546448087,8.244,72.1761010321174,24.42,2289.07,79.6012564908007,19.306666668
"237",2012.52459016393,7.842,72.4908580383962,24.224,2240.618,81.9495233120021,18.12
"238",2012.54371584699,7.288,72.4576202052504,23.9,2265.438,86.0387332561061,18.663333334
"239",2012.56284153005,7.022,72.9374507744815,23.75,2208.444,85.7820294040431,21.630000002
"240",2012.58196721311,6.938,76.4793116373059,23.81,2327.07,86.6841582060851,19.82
"241",2012.60109289617,7.222,77.2618353733566,24.096,2426.42,90.6450359432679,18.966666666
"242",2012.62021857923,7.612,76.949284532269,24.776,2441.34,93.2038677439242,20.289999998
"243",2012.6393442623,7.978,75.1838146955644,25.06,2454.544,91.6029922950006,21.143333334
"244",2012.65846994536,7.918,74.8759513059017,24.88,2436.536,90.0808909169233,17.773333336
